| GTID   | GT_Tag                                       |     q |     a1x |     a1y |     a1z |     a2x |     a2y |     a2z | af     | mf     |   Momega |
|--------+----------------------------------------------+-------+---------+---------+---------+---------+---------+---------+--------+--------+----------|
| GT0001 | fr_b3.1_a0.4_oth.000_M77                     |  1.00 |  0.0000 |  0.0000 |  0.3999 | -0.4001 |  0.0000 |  0.0000 | -      | -      |  0.09132 |
| GT0002 | fr_b3.1_a0.4_oth.045_M77                     |  1.00 |  0.2828 |  0.0000 |  0.2828 | -0.4001 |  0.0000 |  0.0000 | -      | -      |  0.09993 |
| GT0003 | fr_b3.1_a0.4_oth.090_M77                     |  1.00 |  0.4000 |  0.0000 | -0.0000 | -0.4000 |  0.0000 |  0.0000 | -      | -      |  0.14025 |
| GT0004 | fr_b3.1_a0.4_oth.135_M77                     |  1.00 |  0.2829 |  0.0000 | -0.2829 | -0.3999 |  0.0000 |  0.0000 | -      | -      |  0.35815 |
| GT0005 | fr_b3.1_a0.4_oth.180_M77                     |  1.00 |  0.0000 |  0.0000 | -0.4001 | -0.3999 |  0.0000 |  0.0000 | -      | -      |  0.41468 |
| GT0006 | fr_b3.1_a0.4_oth.225_M77                     |  1.00 | -0.2829 |  0.0000 | -0.2829 | -0.3999 |  0.0000 |  0.0000 | -      | -      |  0.28079 |
| GT0007 | fr_b3.1_a0.4_oth.270_M77                     |  1.00 | -0.4000 |  0.0000 | -0.0000 | -0.4000 |  0.0000 |  0.0000 | -      | -      |  0.11995 |
| GT0008 | fr_b3.1_a0.4_oth.315_M77                     |  1.00 | -0.2828 |  0.0000 |  0.2828 | -0.4001 |  0.0000 |  0.0000 | -      | -      |  0.09468 |
| GT0009 | fr_b3.1_a0.2_oth.000_M77                     |  1.00 |  0.0000 |  0.0000 |  0.2000 | -0.2000 |  0.0000 |  0.0000 | -      | -      |  0.10797 |
| GT0010 | fr_b3.1_a0.2_oth.045_M77                     |  1.00 |  0.1414 |  0.0000 |  0.1414 | -0.2000 |  0.0000 |  0.0000 | -      | -      |  0.11556 |
| GT0011 | fr_b3.1_a0.2_oth.090_M77                     |  1.00 |  0.2000 |  0.0000 | -0.0000 | -0.2000 |  0.0000 |  0.0000 | -      | -      |  0.14345 |
| GT0012 | fr_b3.1_a0.2_oth.135_M77                     |  1.00 |  0.1414 |  0.0000 | -0.1414 | -0.2000 |  0.0000 |  0.0000 | -      | -      |  0.30387 |
| GT0013 | fr_b3.1_a0.2_oth.180_M77                     |  1.00 |  0.0000 |  0.0000 | -0.2000 | -0.2000 |  0.0000 |  0.0000 | -      | -      |  0.36814 |
| GT0014 | fr_b3.1_a0.2_oth.225_M77                     |  1.00 | -0.1414 |  0.0000 | -0.1414 | -0.2000 |  0.0000 |  0.0000 | -      | -      |  0.28261 |
| GT0015 | fr_b3.1_a0.2_oth.270_M77                     |  1.00 | -0.2000 |  0.0000 | -0.0000 | -0.2000 |  0.0000 |  0.0000 | -      | -      |  0.13693 |
